mal,rad,area
0,11.57,0.05485
0,11.25,0.0009737
1,21.37,0.1932
1,14.71,0.1293
0,14.64,0.05192
0,15.1,0.1138
0,13.68,0.01752
0,13.85,0.04479
1,12.46,0.2273
1,16.03,0.1204
0,13.21,0.02987
0,13.59,0.01997
0,9.847,0.0233
0,12.94,0.03296
0,12.27,0.03211
1,13,0.1859
0,12.25,0.01714
0,13.66,0.09657
0,13.47,0.05786
0,11.74,0.06726
0,9.567,0.01652
0,9.876,0.06154
0,13.27,0.03554
1,20.92,0.3174
1,17.35,0.02891
1,19.19,0.1193
1,14.87,0.169
0,12.31,0.03372
0,9.668,0.01479
1,28.11,0.3201
1,18.94,0.108
1,19.4,0.2049
0,12.2,0.01994
1,24.25,0.4268
0,13.24,0.101
0,12.95,0.06155
1,18.81,0.0802
1,19.59,0.1655
1,15.1,0.05253
0,11.37,0.02399
1,17.19,0.09061
0,13.87,0.03688
0,12.77,0.01997
0,11.76,0.01657
0,12.87,0.039
1,18.31,0.08169
0,8.878,0.04721
1,18.22,0.113
1,25.22,0.3339
0,12.88,0.06195
0,14.02,0.02087
1,18.49,0.1491
1,20.51,0.1554
1,15.85,0.09938
0,12.88,0.04825
0,15.27,0.05892
0,11.13,0.01369
0,13.49,0.04751
0,14.29,0.00725
1,15.08,0.1235
0,11.8,0.02853
1,17.93,0.05699
0,11.85,0.02688
1,18.01,0.117
1,17.75,0.1698
0,9.738,0
0,10.32,0.01012
0,12.3,0.03844
0,10.29,0.05999
1,15.06,0.17
1,19.68,0.1863
0,10.49,0.02297
0,9.787,0.006829
0,14.61,0.01447
0,12.04,0.02367
1,15.46,0.1466
1,15.75,0.1147
0,9.423,0
1,20.29,0.198
1,14.99,0.02398
0,9.777,0.04334
0,10.57,0.01993
1,17.47,0.2159
0,13.85,0.01342
0,8.726,0.04132
0,11.61,0.07097
0,12.43,0.01342
1,23.27,0.1324
1,23.09,0.1676
0,14.53,0.06895
0,13.01,0.001595
0,8.571,0.02565
0,9.042,0.1975
0,14.44,0.08487
1,13.11,0.2071
0,11.89,0.06636
0,14.26,0.3003
0,6.981,0
1,20.57,0.0869
0,12.77,0.03112
0,13.38,0.02819
1,19.44,0.2256
0,10.08,0.001597
0,13.64,0.04705
0,11.16,0.008955
0,12.39,0.05892
0,11.45,0.04591
1,19.73,0.2417
0,11.31,0.03709
0,13.45,0.03974
1,17.29,0.09697
1,20.18,0.2133
1,23.21,0.195
0,13.51,0.0858
1,19.1,0.1937
1,17.6,0.2136
0,12.56,0.103
1,15.37,0.1122
1,15.12,0.0755
1,16.74,0.1348
1,13.96,0.09789
1,17.01,0.0695
1,19.27,0.1657
0,11.06,0.02712
1,21.61,0.281
0,9.742,0.008934
0,10.26,0.01923
1,14.25,0.1319
1,15.75,0.2914
0,14.97,0.02602
0,12.32,0.03987
0,13.16,0.018
0,13.05,0.09603
0,12.99,0.03738
0,9.504,0.02956
0,10.8,0.03614
0,9.667,0.02948
0,12.54,0.001194
1,19.07,0.2107
0,16.84,0.0515
0,12.96,0.04057
0,9.731,0.4108
0,13.17,0.04859
1,11.76,0.02685
1,23.29,0.3523
0,12.75,0.0388
1,20.18,0.3754
0,11.49,0.05308
0,11.89,0.05929
0,11.89,0.02555
1,21.16,0.1097
0,11.81,0.02353
0,12.18,0.01123
1,17.91,0.3189
1,15.78,0.2133
0,11.93,0.03328
0,10.71,0.08448
1,19,0.09271
0,13.54,0.06664
0,11.06,0.05397
1,20.2,0.1641
0,12.4,0.07741
0,10.66,0
0,11.52,0.04328
1,15.46,0.2032
0,9.72,0
1,15.34,0.2077
0,11.08,0.02363
0,11.75,0.06843
1,17.99,0.3001
0,13.4,0.02181
0,12.87,0.01797
0,11.52,0.03036
1,19.69,0.1974
0,12.36,0.06015
0,9.755,0.01541
0,12.72,0.01402
1,14.6,0.0839
0,13.75,0.04697
1,18.08,0.1103
1,21.09,0.2487
1,15.78,0.09954
1,17.99,0.1201
0,12.62,0.02966
1,20.47,0.1523
0,12.23,0.04187
0,14.05,0.04462
0,10.48,0.04831
1,11.42,0.2414
0,11.7,0.01583
0,14.47,0.1009
0,12.72,0.01288
0,13.2,0.04336
1,21.56,0.2439
1,11.8,0.1659
0,13.9,0.02995
1,14.22,0.1981
0,9.295,0.03332
1,18.05,0.1684
0,8.597,0
1,13.43,0.05858
0,13.53,0.06877
0,10.86,0
1,15.53,0.1751
1,19.45,0.1379
1,22.27,0.4264
0,12.76,0.02688
1,13.8,0.07789
0,10.49,0.02995
0,12.7,0.0236
0,12.91,0.03873
1,17.14,0.2229
0,10.48,0.06335
0,14.97,0.01947
1,19.16,0.1921
1,15.13,0.04686
1,16.13,0.1722
1,19.4,0.1626
1,19.53,0.2197
1,19.89,0.1411
0,12.58,0.00186
0,8.888,0.08606
1,20.58,0.164
0,13.59,0.04072
1,20.26,0.1465
0,14.04,0.03534
1,19.79,0.2545
1,20.34,0.2565
0,13,0.03136
0,13.5,0.002758
0,17.85,0.04445
0,11.64,0.0707
1,21.71,0.1168
0,13.78,0.01055
0,14.62,0.03102
0,14.64,0.09966
0,11.94,0.01972
0,11.34,0.04302
0,11.74,0.02245
1,17.08,0.1007
0,10.65,0.02379
0,13.28,0.05077
0,12,0.04151
0,14.81,0.03416
0,15.04,0.07721
0,11.13,0.04824
0,10.44,0.006643
1,19.55,0.1784
1,14.27,0.1463
1,13.86,0.09901
1,20.59,0.2188
0,11.2,0
1,15.61,0.04209
0,13,0.01206
1,18.31,0.1569
1,13.73,0.2128
0,13.2,0.001461
0,10.18,0.01768
0,14.03,0.01462
0,13.94,0.101
1,16.69,0.03649
0,11.62,0.102
0,14.87,0.06824
1,15.3,0.1683
0,10.51,0.06476
0,11.04,0.03546
0,11.26,0.09274
1,16.11,0.09447
0,16.3,0.05526
0,12.89,0.1115
0,11.71,0.04006
1,14.25,0.2135
0,13.56,0.0786
1,13.61,0.05285
1,17.57,0.09875
0,12.27,0
0,9.333,0.03996
1,15.5,0.1522
0,10.26,0.03581
0,12.21,0.06839
1,18.45,0.1153
0,14.59,0.1029
0,11.66,0.008306
0,14.11,0.01765
0,7.729,0
0,11.15,0.01982
1,18.82,0.1594
0,11.94,0.06574
1,16.65,0.1525
0,9.465,0.02172
1,23.51,0.2308
0,12.89,0.0226
1,14.9,0.2733
1,17.06,0.1508
0,7.76,0
0,11.71,0.03809
1,12.83,0.1695
1,18.63,0.2319
0,13.05,0.000692
1,16.25,0.2236
0,13.74,0.02881
0,11.99,0.05441
0,8.734,0
0,11.32,0.01633
0,13.3,0.03344
0,14.86,0.03346
1,16.26,0.1799
0,15.71,0.07135
0,11.54,0.06737
0,11.22,0.005006
0,12.67,0.03193
0,12.07,0.03781
0,14.4,0.03476
0,12.05,0.06592
0,11.93,0.02606
1,11.84,0.1218
0,11.67,0.042
0,13.05,0.004559
0,12.76,0.04052
0,13.15,0.09293
1,13.71,0.09366
0,9.029,0.313
1,14.19,0.1115
0,11.9,0.0371
0,11.75,0.05282
0,11.27,0.1007
1,13.4,0.1445
0,14.99,0.06859
0,10.05,0.02511
0,9.676,0.1188
0,11.51,0.1112
1,18.77,0.106
0,12.9,0.04894
0,12.63,0.1065
1,14.48,0.1204
0,7.691,0.09252
1,12.45,0.1578
0,14.69,0.145
0,11.26,0.005067
1,15.05,0.07486
1,20.48,0.09042
0,11.95,0.01171
0,11.36,0.02783
1,20.94,0.2712
0,13.27,0.03261
1,14.95,0.1539
0,8.671,0
0,16.14,0.055
0,10.9,0.00309
0,11.3,0.1548
0,14.22,0.1103
0,11.33,0.001487
1,25.73,0.3368
0,14.74,0.04105
0,13.64,0.01857
0,11.68,0.04279
1,15.7,0.06593
0,11.43,0.02031
1,19.02,0.1468
1,16.16,0.1043
1,16.02,0.03299
0,8.598,0.03
1,16.78,0.08422
0,16.5,0.05862
0,12.85,0.06126
0,14.2,0.05063
0,11.5,0.02638
1,13.61,0.08625
1,17.05,0.191
1,14.45,0.118
0,14.8,0.04069
0,12.36,0.02643
0,13.9,0.02224
0,9.173,0.05988
0,12,0.04055
1,19.8,0.1272
0,14.06,0.02681
1,18.46,0.1335
1,14.68,0.07395
1,13.77,0.1385
1,19.18,0.1114
1,17.02,0.2417
0,11.04,0.03046
1,17.2,0.1692
0,11.28,0.04635
0,9.876,0.01756
0,12.34,0.02958
1,16.35,0.1811
0,13.34,0.1169
0,12.18,0.0249
0,14.53,0.08817
0,11.63,0.0716
0,13.46,0.04201
0,11.14,0.04505
0,13.46,0.01271
1,16.46,0.1793
0,11.41,0.06181
1,15.28,0.05375
0,12.42,0.01053
1,22.01,0.2448
1,19.17,0.2065
0,10.82,0.01548
0,12.89,0.1374
1,13.28,0.09847
0,10.16,0.005025
0,12.62,0.05438
0,12.47,0.03609
0,12.06,0.01972
1,14.78,0.1267
0,11.27,0.079
0,12.8,0.0739
1,20.6,0.3514
1,12.77,0.04711
0,14.42,0.08007
1,19.53,0.1145
0,10.75,0.02251
0,11.34,0.05133
0,10.94,0.04944
0,12.78,0.03653
1,27.42,0.3635
0,12.21,0.04392
0,12.05,0.07943
0,11.41,0.03512
0,13.65,0.03888
1,15.49,0.1891
0,10.51,0.02495
0,13.14,0.1085
0,12.65,0.08017
0,9.268,0.0973
0,12.1,0.04783
1,15.46,0.203
0,11.71,0.03592
0,10.8,0.02531
0,11.87,0.08777
0,10.17,0.01084
0,12.46,0.0683
1,13.44,0.0311
0,11.6,0.01974
1,19.55,0.1856
1,17.3,0.1266
0,12.81,0.009193
0,9.904,0.1307
1,13.48,0.1063
0,8.196,0.01588
1,27.22,0.2871
0,10.96,0.05263
0,12.47,0.08005
1,24.63,0.231
1,13.82,0.1357
0,13.62,0.02974
1,20.13,0.144
0,12.03,0.001546
1,16.27,0.1478
0,11.29,0.03265
0,12.34,0.0537
1,13.17,0.08259
1,18.66,0.1457
0,13.66,0.04249
1,18.03,0.109
1,18.65,0.1974
0,12.86,0.03889
0,12.46,0.007173
1,21.75,0.2195
0,12.06,0.00751
0,14.41,0.1362
0,8.219,0.1321
0,12.54,0.05928
1,20.64,0.1527
0,10.88,0.05115
1,20.44,0.09799
